Station|Year|Month|Day|Hour|Max Load

|COAST|18779.025510000003|1951|053100|18779.025510000003

|EAST|2380.1654089999956|1950|060401|2380.1654089999956

|FAR_WEST|2281.2722140000024|1949|071616|2281.2722140000024

|NORTH|1544.7707140000005|1950|082617|1544.7707140000005

|NORTH_C|24415.570226999993|1949|123110|24415.570226999993

|SOUTHERN|5494.157645|1950|050410|5494.157645

|SOUTH_C|11433.30491600001|1949|111215|11433.30491600001

|WEST|1862.6137649999998|1950|082617|1862.6137649999998
